İstanbul;(42. Yarış Günü);17/07/2022
1. Kosu :   15:15;ŞARTLI 4/DHÖW/Y2; 4 Yaşlı Araplar; 58.00kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;

7. Kosu :  BEYOĞLU KOŞUSU 18:30;G 2; 3 Yaşlı İngilizler; 58.00kg; 2100m; Sentetik;;;;Rekor Derece :2.09.23
İkramiye;;;;;Yetiştirici Primi;;;;
1.)360.000 TL;2.)144.000 TL;3.)72.000 TL;4.)36.000 TL;5.)18.000 TL;1.)103.500 TL;2.)41.400 TL;3.)20.700 TL;4.)10.350 TL;5.)5.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DENSO KG DB SK;3y d  e;TOROK (IRE);ÇAMSAKIZI;58;A.SÖZEN;KAZIM YARAREL;İB.B.OĞULLARI;7 - DS;%12.95(4);85;2:12.64;5,35;1,5  Boy
2;ROYAL BABY KG K;3y a  e;KULOĞLU;RAIN GODDESS;58;Ö.YILDIRIM;ALAETTİN ÖZCAN;M.AKKILIÇ;2;%18.08(3);93;2:12.82;4,15;Baş
3;ASCOT KG DB SK;3y d  e;MENDIP (USA);ALAZ;58;T.YILDIZ;HAYRETTİN KARAMAZI;Y.DEMİR;1;%36.46(1);100;2:12.84;1,85;1,5  Boy
4;RAGE OF THE WIND K DB;3y d  e;SUMMER FRONT (USA);RETROESQUE (USA);58;G.KOCAKAYA;DENİZ KURTEL;H.YÜZBAŞI;5;%14.28(2);94;2:13.02;3,00;5 Boy
5;GÖKHAN BABAM KG DB SK;3y d  e;GÜNGÖR BABA;SABUR;58;A.ÇELİK;MAHİR TEKİNALP;Y.DEMİRKIRAN;3;%6.3(5);83;2:13.91;15,90;
6;TARMATEBEBİ DB SK;3y d  e;WIENER WALZER (GER);KUNOOZ (IRE);58;VEDAT ABİŞ;GÜLNUR GÜLERCE;SED.DEMİRAL;6 - DS;%3.71(6);70;2:14.29;13,30;
7;GRAND MISSION KG DB;3y d  e;JIMMY CREED (USA);FINANCIAL CRISIS (USA);58;M.ÇİÇEK;DENİZ KURTEL;B.AY;4;%8.21(2);93;2:16.14;3,00;
[(5)RAGE OF THE WIND,(4)GRAND MISSION,] eküridir.GANYAN(2) :5,35 TL, İKİLİ(2/6) :11,05 TL, SIRALI İKİLİ(2/6) :26,85 TL, ÜÇLÜ BAHİS(2/6/1) :17,95 TL, 6. ÇİFTE(6/2) :20,40 TL

8. Kosu :  HÜSAMETTİN TAMER KOŞUSU 19:00;KV-8; 2 Yaşlı İngilizler; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.08.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)145.000 TL;2.)58.000 TL;3.)29.000 TL;4.)14.500 TL;5.)7.250 TL;1.)41.688 TL;2.)16.675 TL;3.)8.338 TL;4.)4.169 TL;5.)2.084 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;URFA ASLANI SK;2y d  e;APPROVE (IRE);WAIMARIA (IRE);57;G.KOCAKAYA;ELİF KAYA;V.KARAKUŞ;2;%21.93(3);52;1:12.44;3,45;Yarım Boy
2;HOT TOCCET SK;2y d  d;TOCCET (USA);HEAT BLAST;55;Ö.YILDIRIM;ALP Ş. EVCİMEN;S.S.GÖRGÜ;6;%34.19(1);56;1:12.53;1,70;Yarım Boy
3;ULFBERHT KG SK;2y d  e;PERFECT STORM;RAPUNZEL;57;A.ÇELİK;ADNAN TÜRKOĞLU;Y.DEMİRKIRAN;1;%27.16(2);48;1:12.62;2,85;7 Boy
4;GEZZAL K DB;2y d  e;APPROVE (IRE);HİSARIM;57 +0.10;H.İ.AKKAYA;MAHMUT KARAKEÇİ;M.Y.KILINÇ;5;%11.46(4);47;1:13.84;6,75;Yarım Boy
5;LADY İMPOSTOR;2y d  d;HAKKAR;ECE EFE;55;S.ÇETİN;M.SAİT TOKDEMİR;M.TÜRKOĞLU;4;%2.34(6);42;1:13.91;39,40;
6;BRAVE HORSE KG SK;2y a  e;CAPTAIN RIO (GB);BRAVE SOUL;57;H.ŞİMŞEK;HAKAN SANER;D.ÇELİK;3;%2.92(5);44;1:14.01;29,95;
GANYAN(4) :3,45 TL, SIRALI İKİLİ(4/5) :8,05 TL, 7. ÇİFTE(2/4) :18,30 TL

